ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,ASSENTAMEN
degradacao,"11","2019",Sentinel-1-2,PA,0.02,Novo Repartimento,PA JOSÉ CIRILO GOMES
degradacao,"12","2010",Modis,RO,0.21,Costa Marques,PA SANTA IZABEL
degradacao,"12","2010",Modis,RO,0.32,Costa Marques,PA SANTA IZABEL
degradacao,"10","2014",Modis,RO,0.30,Costa Marques,PA SANTA IZABEL
degradacao,"10","2020",Sentinel-1-2,PA,0.02,Floresta do Araguaia,PA AGRISA
degradacao,"10","2020",Sentinel-1-2,PA,0.07,Floresta do Araguaia,PA AGRISA
degradacao,"3","2020",Sentinel-1-2,PA,0.05,Itupiranga,PA CINTURAO VERDE I E II
degradacao,"3","2020",Sentinel-1-2,PA,0.04,Itupiranga,PA CINTURAO VERDE I E II
degradacao,"6","2010",Modis,PA,0.31,Itupiranga,PA CINTURAO VERDE I E II
degradacao,"11","2019",Sentinel-1-2,PA,0.05,Marabá,PA CINTURAO VERDE I E II
degradacao,"11","2020",Sentinel-1-2,PA,0.05,Marabá,PA CINTURAO VERDE I E II
degradacao,"7","2009",Modis,PA,1.39,São Félix do Xingu,PA OESTE
degradacao,"10","2020",Sentinel-1-2,PA,0.04,São Félix do Xingu,PA OESTE
degradacao,"10","2020",Sentinel-1-2,PA,0.04,São Félix do Xingu,PA OESTE
degradacao,"5","2020",Sentinel-1-2,PA,0.07,Portel,PDS LIBERDADE I
degradacao,"10","2019",Sentinel-1-2,PA,1.26,Portel,PDS LIBERDADE I
degradacao,"10","2018",Sentinel-1-2,PA,0.43,Portel,PDS LIBERDADE I
degradacao,"10","2018",Sentinel-1-2,PA,0.17,Portel,PDS LIBERDADE I
degradacao,"10","2019",Sentinel-1-2,PA,0.08,Portel,PDS LIBERDADE I
degradacao,"10","2019",Sentinel-1-2,PA,0.24,Portel,PDS LIBERDADE I
degradacao,"10","2018",Sentinel-1-2,PA,1.98,Portel,PDS LIBERDADE I
degradacao,"10","2018",Sentinel-1-2,PA,1.22,Portel,PDS LIBERDADE I
degradacao,"6","2010",Modis,PA,0.65,Portel,PDS LIBERDADE I
degradacao,"6","2010",Modis,PA,0.42,Portel,PDS LIBERDADE I
degradacao,"6","2010",Modis,PA,0.70,Portel,PDS LIBERDADE I
degradacao,"10","2018",Sentinel-1-2,PA,1.62,Portel,PDS LIBERDADE I
degradacao,"10","2018",Sentinel-1-2,PA,0.12,Portel,PDS LIBERDADE I
degradacao,"10","2018",Sentinel-1-2,PA,0.15,Portel,PDS LIBERDADE I
