ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,UNID_CONSE,USO,JURISDICAO
degradacao,8,2022,Sentinel-2,PA,0.04,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.04,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.04,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.04,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.04,Itaituba,FLONA de Altamira,Uso Sustentável,Federal
degradacao,8,2022,Sentinel-2,PA,0.04,Altamira,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.04,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.04,São Félix do Xingu,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.03,São Félix do Xingu,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.03,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.03,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.03,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.03,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.03,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.03,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.03,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.03,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
