ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2
degradacao,"11","2022",Sentinel-2,MT,2.62
degradacao,"11","2022",Sentinel-2,MT,2.61
degradacao,"11","2022",Sentinel-2,MT,2.52
degradacao,"11","2022",Sentinel-2,MT,2.52
degradacao,"11","2022",Sentinel-2,RO,2.51
degradacao,"11","2022",Sentinel-2,MT,2.51
degradacao,"11","2022",Sentinel-2,MA,2.48
degradacao,"11","2022",Sentinel-2,MT,2.44
degradacao,"11","2022",Sentinel-2,MT,2.42
degradacao,"11","2022",Sentinel-2,PA,2.36
degradacao,"11","2022",Sentinel-2,MT,2.36
degradacao,"11","2022",Sentinel-2,MT,2.18
degradacao,"11","2022",Sentinel-2,PA,2.16
degradacao,"11","2022",Sentinel-2,MT,2.14
degradacao,"11","2022",Sentinel-2,TO,2.13
degradacao,"11","2022",Sentinel-2,MT,2.12
degradacao,"11","2022",Sentinel-2,MT,2.08
degradacao,"11","2022",Sentinel-2,PA,2.01
degradacao,"11","2022",Sentinel-2,MT,1.95
degradacao,"11","2022",Sentinel-2,MT,1.93
degradacao,"11","2022",Sentinel-2,AM,1.92
degradacao,"11","2022",Sentinel-2,MT,1.87
degradacao,"11","2022",Sentinel-2,MT,1.86
degradacao,"11","2022",Sentinel-2,RO,1.82
degradacao,"11","2022",Sentinel-2,MT,1.75
degradacao,"11","2022",Sentinel-2,PA,1.74
degradacao,"11","2022",Sentinel-2,MT,1.74
degradacao,"11","2022",Sentinel-2,MA,1.71
degradacao,"11","2022",Sentinel-2,MT,1.67
degradacao,"11","2022",Sentinel-2,MT,1.66
degradacao,"11","2022",Sentinel-2,AM,1.65
degradacao,"11","2022",Sentinel-2,MT,1.62
degradacao,"11","2022",Sentinel-2,MT,1.60
degradacao,"11","2022",Sentinel-2,MT,1.60
degradacao,"11","2022",Sentinel-2,MT,1.59
degradacao,"11","2022",Sentinel-2,PA,1.57
degradacao,"11","2022",Sentinel-2,PA,1.57
degradacao,"11","2022",Sentinel-2,MT,1.57
degradacao,"11","2022",Sentinel-2,MT,1.55
degradacao,"11","2022",Sentinel-2,MT,1.48
degradacao,"11","2022",Sentinel-2,MT,1.45
degradacao,"11","2022",Sentinel-2,MT,1.44
degradacao,"11","2022",Sentinel-2,MT,1.37
degradacao,"11","2022",Sentinel-2,MT,1.33
degradacao,"11","2022",Sentinel-2,MT,1.32
degradacao,"11","2022",Sentinel-2,MT,1.32
degradacao,"11","2022",Sentinel-2,PA,1.32
degradacao,"11","2022",Sentinel-2,MT,1.30
degradacao,"11","2022",Sentinel-2,AM,1.29
degradacao,"11","2022",Sentinel-2,AC,1.28
degradacao,"11","2022",Sentinel-2,PA,1.25
degradacao,"11","2022",Sentinel-2,MT,1.24
degradacao,"11","2022",Sentinel-2,MT,1.22
degradacao,"11","2022",Sentinel-2,MT,1.20
degradacao,"11","2022",Sentinel-2,AM,1.19
degradacao,"11","2022",Sentinel-2,AM,1.18
