sigla_uf,area_ha,categoria,ano,name,sub_class,nome,geocodigo
PA,4.60145036431,autorizada,2012,PDS LIBERDADE,COM,Pacajá,1505486
PA,37.0063123018,análise,2013,PDS LIBERDADE,COM,Pacajá,1505486
PA,84.8725034105,autorizada,2011,PDS LIBERDADE,COM,Pacajá,1505486
PA,2759.87171209,autorizada,2019,VILA NOVA,COM,Prainha,1506005
PA,125.765070266,autorizada,2019,VILA NOVA,COM,Prainha,1506005
PA,2759.87171209,autorizada,2019,VILA NOVA,COM,Prainha,1506005
PA,376.749424633,,2020,VILA NOVA,COM,Prainha,1506005
PA,277.767123965,autorizada,2019,ÃREA PARA REGULARIZAÃ‡ÃƒO FUNDIÃRIA DE PERMUTAS E/OU COOPERATIVAS,COM,Aveiro,1501006
PA,18.926397376,não autorizada,2018,ÃREA PARA REGULARIZAÃ‡ÃƒO FUNDIÃRIA DE PERMUTAS E/OU COOPERATIVAS,COM,Aveiro,1501006
PA,72.1277446327,autorizada,2019,ÃREA PARA REGULARIZAÃ‡ÃƒO FUNDIÃRIA DE PERMUTAS E/OU COOPERATIVAS,COM,Aveiro,1501006
PA,62.6117840212,não autorizada,2018,ÃREA PARA REGULARIZAÃ‡ÃƒO FUNDIÃRIA DE PERMUTAS E/OU COOPERATIVAS,COM,Aveiro,1501006
PA,2103.80146404,autorizada,2019,CAMUTA DO PUCURUÍ,COM,Gurupá,1503101
PA,21.4715676267,autorizada,2017,CAMUTA DO PUCURUÍ,COM,Gurupá,1503101
PA,575.061995895,autorizada,2019,VILA NOVA,COM,Prainha,1506005
PA,423.747916092,,2020,VILA NOVA,COM,Prainha,1506005
PA,19.021296121,autorizada,2019,PA RIO CUPARI,ARU,Aveiro,1501006
PA,10.9035786634,autorizada,2012,PA RIO CUPARI,ARU,Aveiro,1501006
PA,127.14121637,autorizada,2019,PA MOJU I E II,ARU,Mojuí dos Campos,1504752
PA,24.6907134176,autorizada,2008,PA MOJU I E II,ARU,Mojuí dos Campos,1504752
PA,127.14121637,autorizada,2019,PA MOJU I E II,ARU,Mojuí dos Campos,1504752
PA,51.0158167663,autorizada,2008,PA MOJU I E II,ARU,Mojuí dos Campos,1504752
PA,138.788883654,não autorizada,2019,PDS LIBERDADE I,COM,Portel,1505809
PA,5151.73426532,não autorizada,2008,PDS LIBERDADE I,COM,Portel,1505809
PA,20.2402870691,não autorizada,2019,PDS LIBERDADE I,COM,Portel,1505809
PA,5151.73426532,não autorizada,2008,PDS LIBERDADE I,COM,Portel,1505809
PA,320.538484409,não autorizada,2019,PDS ADEMIR FREDERICCE,COM,Medicilândia,1504455
PA,83.4928187171,não autorizada,2018,PDS ADEMIR FREDERICCE,COM,Medicilândia,1504455
PA,320.538484409,não autorizada,2019,PDS ADEMIR FREDERICCE,COM,Medicilândia,1504455
PA,10.2204185696,não autorizada,2018,PDS ADEMIR FREDERICCE,COM,Medicilândia,1504455
PA,12.2041439113,não autorizada,2019,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,1534.41476086,não autorizada,2007,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,496.113703732,não autorizada,2019,PDS OURO BRANCO,COM,Uruará,1508159
PA,37.9660143895,não autorizada,2012,PDS OURO BRANCO,COM,Uruará,1508159
PA,496.113703732,não autorizada,2019,PDS OURO BRANCO,COM,Uruará,1508159
PA,9.06226686183,não autorizada,2012,PDS OURO BRANCO,COM,Uruará,1508159
PA,496.113703732,não autorizada,2019,PDS OURO BRANCO,COM,Uruará,1508159
PA,205.144914512,não autorizada,2010,PDS OURO BRANCO,COM,Uruará,1508159
